epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,24666.1,0.60498,0.32546,0.91818,0.99329,0.98753,0.99472,0.89841,0.52535,0.26178,0.85313,0.000214046,0.000214046,0.000214046
107,24890.2,0.58453,0.31593,0.90933,0.99511,0.98489,0.99467,0.90151,0.51455,0.2593,0.85153,0.000205723,0.000205723,0.000205723
108,25126.2,0.58906,0.31772,0.91059,0.99416,0.98613,0.99467,0.88937,0.55014,0.26601,0.85557,0.000197532,0.000197532,0.000197532
109,25361.8,0.59785,0.32031,0.91567,0.99357,0.98581,0.99472,0.90373,0.50341,0.25396,0.84879,0.000189475,0.000189475,0.000189475
110,25599,0.59402,0.31959,0.91359,0.99396,0.98548,0.99468,0.90334,0.50531,0.25547,0.84976,0.000181557,0.000181557,0.000181557
111,25835.4,0.59408,0.31873,0.91358,0.99348,0.98568,0.99472,0.90127,0.5049,0.25436,0.84787,0.00017378,0.00017378,0.00017378
112,26064.4,0.59003,0.31912,0.91302,0.99495,0.98492,0.99473,0.89944,0.51227,0.25637,0.84941,0.000166149,0.000166149,0.000166149
113,26294.1,0.59005,0.31752,0.91332,0.99354,0.98538,0.99471,0.90152,0.50956,0.25429,0.84784,0.000158667,0.000158667,0.000158667
114,26535.3,0.58648,0.31527,0.91258,0.99372,0.98666,0.99471,0.90377,0.50479,0.25226,0.8478,0.000151336,0.000151336,0.000151336
115,26769.7,0.57795,0.31176,0.90901,0.99351,0.98725,0.99473,0.90662,0.50046,0.25203,0.84764,0.000144161,0.000144161,0.000144161
116,27005.4,0.59047,0.31889,0.91377,0.99467,0.9846,0.99467,0.90914,0.49293,0.25059,0.8457,0.000137143,0.000137143,0.000137143
117,27234.2,0.58819,0.31771,0.91286,0.99475,0.9854,0.9947,0.90332,0.50702,0.25332,0.84753,0.000130287,0.000130287,0.000130287
118,27458.7,0.58004,0.31424,0.90883,0.99475,0.98507,0.99467,0.9043,0.50688,0.2519,0.84761,0.000123596,0.000123596,0.000123596
119,27689.3,0.57385,0.31123,0.90895,0.99386,0.98533,0.9947,0.90098,0.50716,0.25302,0.84805,0.000117072,0.000117072,0.000117072
120,27925.3,0.57766,0.31273,0.90689,0.99416,0.98562,0.9947,0.90467,0.50224,0.25119,0.8471,0.000110718,0.000110718,0.000110718
121,28159.4,0.57226,0.31164,0.91087,0.99377,0.98611,0.99471,0.90559,0.49795,0.24987,0.84596,0.000104537,0.000104537,0.000104537
122,28394.1,0.5717,0.3102,0.90804,0.99451,0.98597,0.99473,0.90907,0.48958,0.24696,0.84482,9.85311e-05,9.85311e-05,9.85311e-05
123,28629.8,0.57341,0.31062,0.90976,0.99466,0.98646,0.99473,0.90873,0.49229,0.2475,0.8446,9.2704e-05,9.2704e-05,9.2704e-05
124,28865.7,0.58187,0.31435,0.91279,0.99375,0.98734,0.99473,0.90861,0.49218,0.24754,0.84479,8.70577e-05,8.70577e-05,8.70577e-05
125,29101.2,0.56985,0.30827,0.90814,0.99397,0.98657,0.99471,0.9069,0.49949,0.24867,0.8453,8.15947e-05,8.15947e-05,8.15947e-05
126,29336.7,0.57282,0.30986,0.9067,0.99426,0.98627,0.99473,0.90759,0.4862,0.24579,0.84444,7.63174e-05,7.63174e-05,7.63174e-05
127,29572.1,0.56458,0.30565,0.90525,0.99395,0.98656,0.99471,0.90968,0.4885,0.24639,0.84416,7.12282e-05,7.12282e-05,7.12282e-05
128,29807.3,0.56673,0.307,0.90642,0.99465,0.98559,0.99471,0.90955,0.48837,0.24445,0.84405,6.63292e-05,6.63292e-05,6.63292e-05
129,30035.9,0.56772,0.30633,0.9096,0.99417,0.98663,0.99473,0.90823,0.491,0.24568,0.84381,6.16227e-05,6.16227e-05,6.16227e-05
130,30259.8,0.56097,0.30553,0.90594,0.99446,0.98631,0.99471,0.90902,0.48876,0.24552,0.84363,5.71106e-05,5.71106e-05,5.71106e-05
131,30482.3,0.56096,0.30464,0.90463,0.99424,0.98597,0.99468,0.90889,0.48646,0.2447,0.84306,5.2795e-05,5.2795e-05,5.2795e-05
132,30718.5,0.55637,0.3029,0.90393,0.99306,0.98705,0.99468,0.9093,0.48839,0.24418,0.84304,4.86777e-05,4.86777e-05,4.86777e-05
133,30954.2,0.5624,0.30536,0.90627,0.99476,0.98643,0.99472,0.90975,0.48263,0.24325,0.84279,4.47606e-05,4.47606e-05,4.47606e-05
134,31188.1,0.55688,0.30307,0.90472,0.99466,0.9863,0.99469,0.91116,0.47945,0.242,0.84199,4.10454e-05,4.10454e-05,4.10454e-05
135,31422.7,0.55962,0.3043,0.90546,0.99466,0.98622,0.99471,0.91207,0.48293,0.24312,0.84183,3.75337e-05,3.75337e-05,3.75337e-05
136,31657.2,0.54972,0.29906,0.89923,0.99397,0.98698,0.99475,0.9092,0.49153,0.2446,0.84294,3.4227e-05,3.4227e-05,3.4227e-05
137,31891.2,0.5535,0.30082,0.90109,0.9941,0.98695,0.99473,0.9104,0.48409,0.24317,0.84212,3.11268e-05,3.11268e-05,3.11268e-05
138,32128.1,0.5584,0.30379,0.90393,0.99388,0.9871,0.99476,0.91175,0.47885,0.24185,0.84135,2.82345e-05,2.82345e-05,2.82345e-05
139,32363.5,0.55678,0.30316,0.9032,0.99433,0.98666,0.99472,0.9114,0.48328,0.24303,0.84166,2.55513e-05,2.55513e-05,2.55513e-05
140,32599.1,0.5522,0.30158,0.9009,0.99466,0.98665,0.99476,0.91168,0.48033,0.2421,0.8416,2.30784e-05,2.30784e-05,2.30784e-05
141,32821.6,0.48433,0.25798,0.85869,0.99377,0.98633,0.99467,0.89315,0.50627,0.25208,0.84838,2.08169e-05,2.08169e-05,2.08169e-05
142,33037.2,0.46919,0.24916,0.85622,0.99368,0.98714,0.99469,0.90281,0.49821,0.24994,0.8477,1.87678e-05,1.87678e-05,1.87678e-05
143,33257.7,0.4634,0.24663,0.85547,0.99427,0.98714,0.99469,0.90477,0.4953,0.24912,0.84631,1.6932e-05,1.6932e-05,1.6932e-05
144,33480.5,0.45456,0.24504,0.85208,0.99377,0.98663,0.99469,0.90544,0.49028,0.24745,0.84468,1.53102e-05,1.53102e-05,1.53102e-05
145,33702.6,0.45115,0.24261,0.84854,0.99444,0.98617,0.99471,0.90669,0.48967,0.24709,0.84444,1.39032e-05,1.39032e-05,1.39032e-05
146,33925,0.45225,0.24273,0.85189,0.99436,0.98622,0.99472,0.90678,0.48637,0.2457,0.8438,1.27117e-05,1.27117e-05,1.27117e-05
147,34147.8,0.44888,0.24086,0.84973,0.99436,0.98666,0.99472,0.90697,0.4867,0.24561,0.84356,1.1736e-05,1.1736e-05,1.1736e-05
148,34370.6,0.44773,0.24113,0.84948,0.99427,0.98663,0.99471,0.90731,0.48894,0.24597,0.84357,1.09768e-05,1.09768e-05,1.09768e-05
149,34588.6,0.44634,0.2403,0.85025,0.99387,0.98687,0.99471,0.90754,0.48786,0.24474,0.84329,1.04342e-05,1.04342e-05,1.04342e-05
150,34808.9,0.44339,0.23884,0.84865,0.99368,0.98666,0.99471,0.9085,0.48331,0.24339,0.84266,1.01086e-05,1.01086e-05,1.01086e-05
